date,lottery,full_number,last_3,digit_1,digit_2,digit_3,day_of_week,day,month,lag_d1_1,lag_d2_1,lag_d3_1,lag_d1_2,lag_d2_2,lag_d3_2,lag_d1_3,lag_d2_3,lag_d3_3,lag_d1_4,lag_d2_4,lag_d3_4,lag_d1_5,lag_d2_5,lag_d3_5,delta_d1_1,delta_d2_1,delta_d3_1,delta_d1_2,delta_d2_2,delta_d3_2,delta_d1_3,delta_d2_3,delta_d3_3,roll_d1,roll_d2,roll_d3,dist_d1,dist_d2,dist_d3,is_even_d1,is_even_d2,is_even_d3
2025-09-19,Suvarna Keralam,870677,677,6,7,7,4,19,9,7.0,1.0,6.0,7.0,5.0,3.0,7.0,2.0,7.0,6.0,8.0,8.0,7.0,0.0,9.0,0.0,-4.0,3.0,0.0,3.0,-4.0,1.0,-6.0,-1.0,7.0,4.3,4.8,0.0,-3.3,1.2000000000000002,0,0,1
2025-09-20,Karunya,887616,616,6,1,6,5,20,9,6.0,7.0,7.0,7.0,1.0,6.0,7.0,5.0,3.0,7.0,2.0,7.0,6.0,8.0,8.0,-1.0,6.0,1.0,0.0,-4.0,3.0,0.0,3.0,-4.0,6.9,4.6,5.0,-0.9000000000000004,2.4000000000000004,2.0,1,0,0
2025-09-21,Samrudhi,235028,028,0,2,8,6,21,9,6.0,1.0,6.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,5.0,3.0,7.0,2.0,7.0,0.0,-6.0,-1.0,-1.0,6.0,1.0,0.0,-4.0,3.0,6.8,4.2,5.0,-0.7999999999999998,-3.2,1.0,1,0,1
2025-09-22,Bhagyathara,423775,775,7,7,5,0,22,9,0.0,2.0,8.0,6.0,1.0,6.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,5.0,3.0,-6.0,1.0,2.0,0.0,-6.0,-1.0,-1.0,6.0,1.0,6.2,3.9,5.8,-6.2,-1.9,2.2,1,1,1
2025-09-23,Sthree Sakthi,840144,144,1,4,4,1,23,9,7.0,7.0,5.0,0.0,2.0,8.0,6.0,1.0,6.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,5.0,-3.0,-6.0,1.0,2.0,0.0,-6.0,-1.0,6.2,3.9,6.0,0.7999999999999998,3.1,-1.0,0,0,0
2025-09-24,Dhanalekshmi,389960,960,9,6,0,2,24,9,1.0,4.0,4.0,7.0,7.0,5.0,0.0,2.0,8.0,6.0,1.0,6.0,6.0,7.0,7.0,-6.0,-3.0,-1.0,7.0,5.0,-3.0,-6.0,1.0,2.0,5.4,3.7,6.3,-4.4,0.2999999999999998,-2.3,0,1,1
2025-09-25,KARUNYA PLUS,430879,879,8,7,9,3,25,9,9.0,6.0,0.0,1.0,4.0,4.0,7.0,7.0,5.0,0.0,2.0,8.0,6.0,1.0,6.0,8.0,2.0,-4.0,-6.0,-3.0,-1.0,7.0,5.0,-3.0,5.6,4.3,5.4,3.4000000000000004,1.7000000000000002,-5.4,0,1,1
2025-09-26,Suvarna Keralam,648907,907,9,0,7,4,26,9,8.0,7.0,9.0,9.0,6.0,0.0,1.0,4.0,4.0,7.0,7.0,5.0,0.0,2.0,8.0,-1.0,1.0,9.0,8.0,2.0,-4.0,-6.0,-3.0,-1.0,5.8,4.2,5.5,2.2,2.8,3.5,1,0,0
2025-09-28,Samrudhi,507167,167,1,6,7,6,28,9,9.0,0.0,7.0,8.0,7.0,9.0,9.0,6.0,0.0,1.0,4.0,4.0,7.0,7.0,5.0,1.0,-7.0,-2.0,-1.0,1.0,9.0,8.0,2.0,-4.0,6.0,4.0,5.5,3.0,-4.0,1.5,0,1,0
2025-09-29,Bhagyathara,669175,175,1,7,5,0,29,9,1.0,6.0,7.0,9.0,0.0,7.0,8.0,7.0,9.0,9.0,6.0,0.0,1.0,4.0,4.0,-8.0,6.0,0.0,1.0,-7.0,-2.0,-1.0,1.0,9.0,5.4,4.1,5.9,-4.4,1.9000000000000004,1.0999999999999996,0,1,0
